,name,price,product_url,image,FreeShip,Rating,Badge_Under_Price,Be_Paid_By_Installments,Free_Gifts
0,Điện Thoại Samsung Galaxy M12 (4GB/64GB) - Hàng Chính Hãng,3.639.000 ₫,https://tiki.vn/dien-thoai-samsung-galaxy-m12-4gb-64gb-hang-chinh-hang-p99376042.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.99376042,https://salt.tikicdn.com/cache/200x200/ts/product/38/0f/76/3377a65a5e426e395b9984e275886353.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,96%,True,True,True
1,Điện Thoại Vsmart Joy 4 - Hàng Chính Hãng,3.059.000 ₫,https://tiki.vn/dien-thoai-vsmart-joy-4-hang-chinh-hang-p67910637.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.67910637,https://salt.tikicdn.com/cache/200x200/ts/product/52/db/ed/250ed1f223e0711ac9f3ea93ade7074d.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,94%,,,
2,Điện thoại Vivo Y12s - Hàng Chính Hãng,3.789.000 ₫,https://tiki.vn/dien-thoai-vivo-y12s-hang-chinh-hang-p73320913.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.73320913,https://salt.tikicdn.com/cache/200x200/ts/product/3b/11/55/761e7c7bef6f8bbe78dce7616ea79af1.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,96%,True,,
3,Máy Tính Bảng Samsung Galaxy Tab S7 Wifi T870 (6GB/128GB) - Hàng Chính Hãng,16.490.000 ₫,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s7-wifi-t870-6gb-128gb-hang-chinh-hang-p83492084.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.83492084,https://salt.tikicdn.com/cache/200x200/ts/product/7f/e6/1e/dc0d6dcd10f4a31d5f6dcab75566637e.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,96%,,True,True
4,Điện Thoại Samsung Galaxy Note 10 Plus (256GB/12GB) - Hàng Chính Hãng,14.290.000 ₫,https://tiki.vn/dien-thoai-samsung-galaxy-note-10-plus-256gb-12gb-hang-chinh-hang-p22358908.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.22358908,https://salt.tikicdn.com/cache/200x200/ts/product/b3/34/78/8b49c6d6dd25cc5c19b5e764e17df8fb.png.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,90%,,True,
5,Điện Thoại Oppo A15 (3GB/32G) - Hàng Chính Hãng,3.290.000 ₫,https://tiki.vn/dien-thoai-oppo-a15-3gb-32g-hang-chinh-hang-p74492306.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.74492306,https://salt.tikicdn.com/cache/200x200/ts/product/51/dd/9e/d430bcfdb4359de074ec67840a851f34.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,100%,,True,
6,Điện Thoại Samsung Galaxy Note 10 (8GB/256GB) - Hàng Chính Hãng,12.590.000 ₫,https://tiki.vn/dien-thoai-samsung-galaxy-note-10-256gb-8gb-hang-chinh-hang-p22356225.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.22356225,https://salt.tikicdn.com/cache/200x200/ts/product/96/d3/61/8d33e59e47c723186d2aa2c1f4bc10fb.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,92%,,True,
7,Điện Thoại Oppo A93 2020 (8GB/128GB) - Hàng Chính Hãng,5.490.000 ₫,https://tiki.vn/dien-thoai-oppo-a93-2020-8gb-128gb-hang-chinh-hang-p68596326.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.68596326,https://salt.tikicdn.com/cache/200x200/ts/product/9f/e7/2e/c8d7c6fad742cf1a15f1b6b34e59fd2b.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,94%,True,True,
8,Điện Thoại Vsmart Star 5 (4GB/64GB) - Hàng Chính Hãng,3.059.000 ₫,https://tiki.vn/dien-thoai-vsmart-star-5-4gb-64gb-hang-chinh-hang-p91455867.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.91455867,https://salt.tikicdn.com/cache/200x200/ts/product/8f/a6/7b/3d47952514c91a80cda7a42f310072d1.jpg.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,94%,,,
9,Điện thoại Vivo Y1S - Hàng chính hãng,2.389.000 ₫,https://tiki.vn/dien-thoai-vivo-y1s-hang-chinh-hang-p58444960.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_20211002_MD_PID.58444960,https://salt.tikicdn.com/cache/200x200/ts/product/ac/e0/57/6f377a45a456cda76c40bbd79b64a0a3.png.webp,https://salt.tikicdn.com/ts/upload/dc/0d/49/3251737db2de83b74eba8a9ad6d03338.png,100%,True,,
